"Title","CPIH ANNUAL RATE 00: ALL ITEMS 2015=100"
"CDID","L55O"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","21-01-2026"
"Next release","18 February 2026"
"Important notes",
"2014 SEP","1.3"
"2014 OCT","1.3"
"2014 NOV","1.1"
"2014 DEC","0.7"
"2015 JAN","0.5"
"2015 FEB","0.4"
"2015 MAR","0.3"
"2015 APR","0.3"
"2015 MAY","0.4"
"2015 JUN","0.3"
"2015 JUL","0.5"
"2015 AUG","0.4"
"2015 SEP","0.2"
"2015 OCT","0.2"
"2015 NOV","0.4"
"2015 DEC","0.5"
"2016 JAN","0.6"
"2016 FEB","0.6"
"2016 MAR","0.8"
"2016 APR","0.7"
"2016 MAY","0.7"
"2016 JUN","0.8"
"2016 JUL","0.9"
"2016 AUG","1.0"
"2016 SEP","1.3"
"2016 OCT","1.3"
"2016 NOV","1.5"
"2016 DEC","1.8"
"2017 JAN","1.9"
"2017 FEB","2.3"
"2017 MAR","2.3"
"2017 APR","2.6"
"2017 MAY","2.7"
"2017 JUN","2.6"
"2017 JUL","2.6"
"2017 AUG","2.7"
"2017 SEP","2.8"
"2017 OCT","2.8"
"2017 NOV","2.8"
"2017 DEC","2.7"
"2018 JAN","2.7"
"2018 FEB","2.5"
"2018 MAR","2.3"
"2018 APR","2.2"
"2018 MAY","2.3"
"2018 JUN","2.3"
"2018 JUL","2.3"
"2018 AUG","2.4"
"2018 SEP","2.2"
"2018 OCT","2.2"
"2018 NOV","2.2"
"2018 DEC","2.0"
"2019 JAN","1.8"
"2019 FEB","1.8"
"2019 MAR","1.8"
"2019 APR","2.0"
"2019 MAY","1.9"
"2019 JUN","1.9"
"2019 JUL","2.0"
"2019 AUG","1.7"
"2019 SEP","1.7"
"2019 OCT","1.5"
"2019 NOV","1.5"
"2019 DEC","1.4"
"2020 JAN","1.8"
"2020 FEB","1.7"
"2020 MAR","1.5"
"2020 APR","0.9"
"2020 MAY","0.7"
"2020 JUN","0.8"
"2020 JUL","1.1"
"2020 AUG","0.5"
"2020 SEP","0.7"
"2020 OCT","0.9"
"2020 NOV","0.6"
"2020 DEC","0.8"
"2021 JAN","0.9"
"2021 FEB","0.7"
"2021 MAR","1.0"
"2021 APR","1.6"
"2021 MAY","2.1"
"2021 JUN","2.4"
"2021 JUL","2.1"
"2021 AUG","3.0"
"2021 SEP","2.9"
"2021 OCT","3.8"
"2021 NOV","4.6"
"2021 DEC","4.8"
"2022 JAN","4.9"
"2022 FEB","5.5"
"2022 MAR","6.2"
"2022 APR","7.8"
"2022 MAY","7.9"
"2022 JUN","8.2"
"2022 JUL","8.8"
"2022 AUG","8.6"
"2022 SEP","8.8"
"2022 OCT","9.6"
"2022 NOV","9.3"
"2022 DEC","9.2"
"2023 JAN","8.8"
"2023 FEB","9.2"
"2023 MAR","8.9"
"2023 APR","7.8"
"2023 MAY","7.9"
"2023 JUN","7.3"
"2023 JUL","6.4"
"2023 AUG","6.3"
"2023 SEP","6.3"
"2023 OCT","4.7"
"2023 NOV","4.2"
"2023 DEC","4.2"
"2024 JAN","4.2"
"2024 FEB","3.8"
"2024 MAR","3.8"
"2024 APR","3.0"
"2024 MAY","2.8"
"2024 JUN","2.8"
"2024 JUL","3.1"
"2024 AUG","3.1"
"2024 SEP","2.6"
"2024 OCT","3.2"
"2024 NOV","3.5"
"2024 DEC","3.5"
"2025 JAN","3.9"
"2025 FEB","3.7"
"2025 MAR","3.4"
"2025 APR","4.1"
"2025 MAY","4.0"
"2025 JUN","4.1"
"2025 JUL","4.2"
"2025 AUG","4.1"
"2025 SEP","4.1"
"2025 OCT","3.8"
"2025 NOV","3.5"
"2025 DEC","3.6"
